purchase_date,year,month,day_of_week,time_of_day,weather,age_group,gender,persona,purchase_tendency,product_name,price
2022-01-01 10:47:25,2022,1,Saturday,10:47:25,晴れ,10代,男性,学生,"{'おにぎり': 0.1, '野菜飲料': 0.05, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.45, 'お菓子': 0.6000000000000001, 'アイス': 0.2, '傘': 0.0}",['お菓子'],158.39
2022-01-01 11:20:06,2022,1,Saturday,11:20:06,雨,10代,男性,社会人,"{'おにぎり': 0.1, '野菜飲料': 0.05, 'エナジードリンク': 0.05, '清涼飲料水': 0.35, 'ビッグ弁当': 0.45, 'お菓子': 0.8, 'アイス': 0.05, '傘': 0.5}",['傘'],1422.74
2022-01-01 11:43:07,2022,1,Saturday,11:43:07,雨,30代,女性,社会人,"{'おにぎり': 0.2, '野菜飲料': 0.2, 'エナジードリンク': 0.25, '清涼飲料水': 0.25, 'ビッグ弁当': 0.1, 'お菓子': 0.8, 'アイス': 0.05, '傘': 0.5}",['エナジードリンク'],483.69
2022-01-01 11:58:43,2022,1,Saturday,11:58:43,晴れ,20代,女性,学生,"{'おにぎり': 0.2, '野菜飲料': 0.2, 'エナジードリンク': 0.35, '清涼飲料水': 0.15000000000000002, 'ビッグ弁当': 0.1, 'お菓子': 0.6000000000000001, 'アイス': 0.2, '傘': 0.0}",['お菓子'],173.22
2022-01-01 12:11:03,2022,1,Saturday,12:11:03,晴れ,40代,男性,学生,"{'おにぎり': 0.2, '野菜飲料': 0.25, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.15000000000000002, 'お菓子': 0.6000000000000001, 'アイス': 0.2, '傘': 0.0}",['アイス'],248.47
2022-01-01 12:27:35,2022,1,Saturday,12:27:35,晴れ,10代,男性,社会人,"{'おにぎり': 0.1, '野菜飲料': 0.05, 'エナジードリンク': 0.05, '清涼飲料水': 0.35, 'ビッグ弁当': 0.45, 'お菓子': 0.6000000000000001, 'アイス': 0.2, '傘': 0.0}",['お菓子'],137.38
2022-01-01 12:54:04,2022,1,Saturday,12:54:04,曇り,40代,女性,社会人,"{'おにぎり': 0.2, '野菜飲料': 0.4, 'エナジードリンク': 0.05, '清涼飲料水': 0.35, 'ビッグ弁当': 0.0, 'お菓子': 0.6000000000000001, 'アイス': 0.15000000000000002, '傘': 0.0}",['おにぎり'],517.51
2022-01-01 13:04:43,2022,1,Saturday,13:04:43,曇り,50代以上,女性,社会人,"{'おにぎり': 0.3, '野菜飲料': 0.4, 'エナジードリンク': 0.05, '清涼飲料水': 0.35, 'ビッグ弁当': 0.0, 'お菓子': 0.6000000000000001, 'アイス': 0.15000000000000002, '傘': 0.0}",['野菜飲料'],1920.66
2022-01-01 13:05:54,2022,1,Saturday,13:05:54,雪,20代,女性,社会人,"{'おにぎり': 0.2, '野菜飲料': 0.2, 'エナジードリンク': 0.25, '清涼飲料水': 0.25, 'ビッグ弁当': 0.1, 'お菓子': 0.8, 'アイス': 0.05, '傘': 0.1}",['お菓子'],156.86
2022-01-01 13:40:38,2022,1,Saturday,13:40:38,曇り,20代,女性,学生,"{'おにぎり': 0.2, '野菜飲料': 0.2, 'エナジードリンク': 0.35, '清涼飲料水': 0.15000000000000002, 'ビッグ弁当': 0.1, 'お菓子': 0.6000000000000001, 'アイス': 0.15000000000000002, '傘': 0.0}",['お菓子'],65.15
